KeyName	KeyCode	Row	Column	Width
space	32	6	5	5
backspace	8	2	14	1.5
tab	9	3	1	1.5
enter	13	4	13	2
shift	16	5	1	2.5	
ctrl	17	6	2	1
alt	18	6	3	1
caps lock	20	4	1	2
escape	27	1	1	1
left arrow	37	6	8	1
up arrow	38	6	9	1
right arrow	39	6	10	1
down arrow	40	6	9	1
0	48	2	11	1
1	49	2	2	1
2	50	2	3	1
3	51	2	4	1
4	52	2	5	1
5	53	2	6	1
6	54	2	7	1
7	55	2	8	1
8	56	2	9	1
9	57	2	10	1
a	65	4	2	1
b	66	5	6	1
c	67	5	4	1
d	68	4	4	1
e	69	3	4	1
f	70	4	5	1
g	71	4	6	1
h	72	4	7	1
i	73	3	9	1
j	74	4	8	1
k	75	4	9	1
l	76	4	10	1
m	77	5	8	1
n	78	5	7	1
o	79	3	10	1
p	80	3	11	1
q	81	3	2	1
r	82	3	5	1
s	83	4	3	1
t	84	3	6	1
u	85	3	8	1
v	86	5	5	1
w	87	3	3	1
x	88	5	3	1
y	89	3	7	1
z	90	5	2	1
left window key	91	6	4	1
right window key	92	6	6	1
f1	112	1	2	1
f2	113	1	3	1
f3	114	1	4	1
f4	115	1	5	1
f5	116	1	6	1
f6	117	1	7	1
f7	118	1	8	1
f8	119	1	9	1
f9	120	1	10	1
f10	121	1	11	1
f11	122	1	12	1
f12	123	1	13	1
semi-colon	186	4	11	1
equal sign	187	2	13	1
comma	188	5	9	1
dash	189	2	12	1
period	190	5	10	1
forward slash	191	3	14	1
open bracket	219	3	12	1
back slash	220	5	11	1
close braket	221	3	13	1
single quote	222	4	12	1
